2025-12-12 14:07:05,175 INFO    MainThread:560010 [wandb_setup.py:_flush():80] Current SDK version is 0.23.1
2025-12-12 14:07:05,176 INFO    MainThread:560010 [wandb_setup.py:_flush():80] Configure stats pid to 560010
2025-12-12 14:07:05,176 INFO    MainThread:560010 [wandb_setup.py:_flush():80] Loading settings from /home/jcdutoit/.config/wandb/settings
2025-12-12 14:07:05,176 INFO    MainThread:560010 [wandb_setup.py:_flush():80] Loading settings from /home/jcdutoit/Projects/probability-aligned-llms/wandb/settings
2025-12-12 14:07:05,176 INFO    MainThread:560010 [wandb_setup.py:_flush():80] Loading settings from environment variables
2025-12-12 14:07:05,176 INFO    MainThread:560010 [wandb_init.py:setup_run_log_directory():714] Logging user logs to /home/jcdutoit/Projects/probability-aligned-llms/wandb/offline-run-20251212_140704-6wdskn95/logs/debug.log
2025-12-12 14:07:05,176 INFO    MainThread:560010 [wandb_init.py:setup_run_log_directory():715] Logging internal logs to /home/jcdutoit/Projects/probability-aligned-llms/wandb/offline-run-20251212_140704-6wdskn95/logs/debug-internal.log
2025-12-12 14:07:05,176 INFO    MainThread:560010 [wandb_init.py:init():841] calling init triggers
2025-12-12 14:07:05,176 INFO    MainThread:560010 [wandb_init.py:init():846] wandb.init called with sweep_config: {}
config: {'model_path': 'Qwen/Qwen2.5-3B', 'beta': 0.04, 'all_steps': 500, 'Q_batch_size': 1, 'num_pre_Q': 3, 'train_batch_size': 1, 'gen_update_steps': 6, 'clip_param': 0.2, 'compute_gen_logps': True, '_wandb': {}}
2025-12-12 14:07:05,176 INFO    MainThread:560010 [wandb_init.py:init():889] starting backend
2025-12-12 14:07:18,018 INFO    MainThread:560010 [wandb_init.py:init():892] sending inform_init request
2025-12-12 14:07:18,636 INFO    MainThread:560010 [wandb_init.py:init():900] backend started and connected
2025-12-12 14:07:18,639 INFO    MainThread:560010 [wandb_init.py:init():970] updated telemetry
2025-12-12 14:07:19,549 INFO    MainThread:560010 [wandb_init.py:init():994] communicating run to backend with 90.0 second timeout
2025-12-12 14:07:20,055 INFO    MainThread:560010 [wandb_init.py:init():1041] starting run threads in backend
2025-12-12 14:07:34,403 INFO    MainThread:560010 [wandb_run.py:_console_start():2521] atexit reg
2025-12-12 14:07:34,406 INFO    MainThread:560010 [wandb_run.py:_redirect():2369] redirect: wrap_raw
2025-12-12 14:07:34,406 INFO    MainThread:560010 [wandb_run.py:_redirect():2438] Wrapping output streams.
2025-12-12 14:07:34,406 INFO    MainThread:560010 [wandb_run.py:_redirect():2461] Redirects installed.
2025-12-12 14:07:34,853 INFO    MainThread:560010 [wandb_init.py:init():1081] run started, returning control to user process
